time,coin,funding,oi_usd,oi_chg_5m,ls_ratio,taker_ratio
2026-06-27 10:59:55,BTC,+0.0044,6235251963,-0.03,2.116,0.697
2026-06-27 10:59:55,WLD,+0.0100,78959478,-0.08,0.862,1.072
2026-06-27 10:59:55,XRP,-0.0099,372529711,-0.14,2.408,0.511
2026-06-27 10:59:55,ETH,-0.0005,3616924496,-0.05,2.112,0.735
2026-06-27 10:59:55,SLX,+0.0050,23294648,-1.39,0.936,0.779
2026-06-27 10:59:55,SOL,+0.0100,751769142,-0.15,2.347,0.755
2026-06-27 10:59:55,AGLD,-0.2767,10076729,-0.95,0.884,1.243
2026-06-27 10:59:55,IP,-0.3440,6737157,+0.22,1.828,1.500
2026-06-27 10:59:55,ARX,-0.0094,3115593,+3.28,1.327,1.818
2026-06-27 10:59:55,CARV,-0.3885,2058377,+0.59,1.691,0.943
2026-06-27 10:59:55,G,-0.0047,4272321,-0.73,0.874,0.483
2026-06-27 10:59:55,DOGE,+0.0071,156734713,-0.08,2.091,0.840
2026-06-27 10:59:55,ALLO,+0.0046,18337518,+0.49,0.561,1.599
2026-06-27 10:59:55,ONDO,+0.0004,29226298,-0.07,0.895,1.920
2026-06-27 10:59:55,PUNDIX,-0.3930,2860576,+2.72,0.811,1.098
2026-06-27 10:59:55,XLM,+0.0100,45357899,-0.21,0.740,2.677
2026-06-27 10:59:55,JTO,+0.0050,17522491,-0.96,1.322,0.990
2026-06-27 11:04:22,BTC,+0.0045,6234302558,-0.02,2.115,0.784
2026-06-27 11:04:22,WLD,+0.0100,78975926,+0.02,0.861,0.845
2026-06-27 11:04:22,XRP,-0.0100,373056575,+0.14,2.407,1.864
2026-06-27 11:04:22,ETH,-0.0006,3617820996,+0.02,2.111,0.967
2026-06-27 11:04:22,SLX,+0.0050,23392309,+0.42,0.922,1.828
2026-06-27 11:04:22,SOL,+0.0100,750987893,-0.10,2.347,0.575
2026-06-27 11:04:22,AGLD,-0.2872,10076729,-0.95,0.890,0.936
2026-06-27 11:04:22,IP,-0.3411,6737157,+0.22,1.831,1.518
2026-06-27 11:04:22,ARX,-0.0060,3156736,+1.32,1.327,0.977
2026-06-27 11:04:22,CARV,-0.3948,2058377,+0.59,1.662,1.970
2026-06-27 11:04:22,G,-0.0035,4284733,+0.29,0.874,1.575
2026-06-27 11:04:22,DOGE,+0.0074,156879608,+0.09,2.091,2.258
2026-06-27 11:04:22,ALLO,+0.0050,18466430,+0.70,0.561,1.234
2026-06-27 11:04:22,PUNDIX,-0.4046,3099200,+8.34,0.811,1.041
2026-06-27 11:04:22,ONDO,+0.0002,29211176,-0.05,0.895,1.536
