time,coin,entry,prob,spread_pct,bid_krw,ask_krw,depth_imb,bid_wall,ask_wall,buy_ratio
2026-06-22 10:06,STRAX,16.0400,0.19,0.5627,11325139,12340189,-0.0429,0.3929,0.5065,0.6651
2026-06-22 11:30,ZRC,1.8590,0.28,1.4525,8810115,5705476,0.2139,0.2235,0.5514,0.2844
2026-06-22 11:45,WNCG,8.6570,0.30,1.1623,10121896,10468725,-0.0168,0.4624,0.5653,0.7722
2026-06-22 11:54,ACS,0.2268,0.44,0.7497,15412725,4008543,0.5872,0.5887,0.2653,1.0
2026-06-22 12:45,TAIKO,350.0000,0.44,0.2821,63578384,63396182,0.0014,0.2347,0.1547,0.5739
2026-06-22 13:35,ID,55.1400,0.27,0.3404,6052159,28986321,-0.6545,0.2287,0.4312,0.4286
2026-06-22 13:45,STRAX,16.9800,0.44,0.5872,19578789,20527745,-0.0237,0.4041,0.4964,0.0682
2026-06-22 14:00,HPP,33.5000,0.47,1.5069,20987159,6049332,0.5525,0.6519,0.3104,0.4928
2026-06-22 14:25,ES,84.3200,0.34,2.2062,17564806,15615315,0.0588,0.2201,0.5161,0.3258
2026-06-22 14:50,POLA,4.2520,0.25,0.0469,5345632,20702817,-0.5896,0.2553,0.3732,0.2886
2026-06-22 15:35,WNCG,8.7410,0.28,2.8809,12384853,12457128,-0.0029,0.2151,0.3049,0.9875
2026-06-22 15:40,POLA,4.3390,0.46,0.5785,21204308,12596627,0.2547,0.3089,0.7559,0.1153
2026-06-22 16:55,RE,1235.0000,0.36,0.0812,44991962,106537899,-0.4062,0.3875,0.1667,0.8856
2026-06-22 17:05,TAIKO,312.0000,0.34,0.3231,20718827,69546256,-0.5409,0.1884,0.4214,0.1926
2026-06-22 19:35,HPP,34.0000,0.20,1.3928,4250033,8617541,-0.3394,0.1929,0.2822,0.7768
2026-06-22 21:20,STRAX,17.8000,0.31,0.2803,3421384,10948304,-0.5238,0.4314,0.3569,0.5131
2026-06-22 21:25,TAIKO,298.0000,0.34,0.3361,18779387,54497081,-0.4874,0.1891,0.1857,0.3314
2026-06-22 21:45,BEL,265.0000,0.32,0.3711,22278868,56074143,-0.4313,0.2697,0.3407,0.5066
2026-06-22 22:10,BEL,305.0000,0.40,0.3317,62661910,130156322,-0.35,0.2888,0.1689,0.4446
2026-06-23 00:00,TAIKO,292.0000,0.27,0.6849,26513335,48823177,-0.2961,0.2729,0.2511,0.5352
2026-06-23 00:05,GNO,471400.0000,0.41,0.901,13895974,7955421,0.2719,0.316,0.1736,0.6366
2026-06-23 00:05,HPP,41.4000,0.31,0.2626,8100773,20713202,-0.4377,0.411,0.2488,0.5231
2026-06-23 00:10,H,189.0000,0.24,0.5333,150505955,259257427,-0.2654,0.1695,0.1189,0.4509
2026-06-23 00:25,STRAX,16.9200,0.46,0.1762,24570376,8657347,0.4789,0.2267,0.2795,0.117
2026-06-23 01:39,ZTX,0.4748,0.26,0.2527,16108501,21930064,-0.153,0.4296,0.3664,0.6561
2026-06-23 01:45,HEMI,8.7530,0.23,0.504,39482272,5434561,0.758,0.3834,0.4041,0.1409
2026-06-23 02:10,RE,1289.0000,0.36,0.3893,42595402,36319599,0.0795,0.1963,0.656,0.099
2026-06-23 02:15,ZTX,0.4581,0.21,0.0436,15588786,6452050,0.4145,0.216,0.4112,0.4123
2026-06-23 02:41,RE,1367.0000,0.24,0.3702,72666834,24360509,0.4979,0.1376,0.346,0.3554
