date,events,baseline%,oos_n,oos_avg%,oos_t,perm_avg%,perm_t
2026-06-21 14:03,1570,-0.85,15,0.96,0.86,0.07,0.09
2026-06-22 08:30,1697,-0.88,16,2.34,2.17,-1.06,-1.22
2026-06-23 08:30,1970,-0.86,7,-1.22,-1.27,-2.14,-4.61
2026-06-24 08:30,2147,-0.84,8,0.37,0.27,-0.63,-0.81
2026-06-25 08:30,2232,-0.85,10,0.75,0.58,0.88,0.53
2026-06-26 08:30,2393,-0.86,8,0.45,0.32,-1.13,-2.05
2026-06-27 08:30,2443,-0.85,11,-0.57,-0.50,-1.51,-2.32
2026-06-28 08:30,2550,-0.85,14,-0.79,-0.99,-0.81,-1.42
2026-06-29 08:30,2662,-0.87,18,-1.78,-2.95,-0.73,-0.96
2026-06-30 08:30,2779,-0.90,26,-0.17,-0.25,-1.65,-2.95
2026-07-01 08:30,2895,-0.87,38,-0.61,-1.24,-1.63,-1.88
2026-07-02 08:30,2984,-0.87,31,-0.51,-0.93,-1.56,-1.32
