exit_time,coin,entry,exit,pnl_pct,reason,held_h,chg24h_at_entry,rsi_at_entry,vol_ratio_at_entry,ma20_gap_pct,btc_chg24_at_entry
2026-07-02 00:11:15,FLUID,1593.0000,1483.0000,-6.91,손절-6.0%,1.4,+26.2,48.3,0.04,-0.78,+0.7
2026-07-02 02:41:26,TOWNS,2.8660,2.9300,+2.23,타임아웃4H,4.0,+6.0,59.6,0.29,0.89,+0.6
2026-07-02 02:51:27,SFP,349.0000,335.0000,-4.01,타임아웃4H,4.0,+11.9,74.2,0.05,3.45,+1.0
2026-07-02 04:11:33,G,5.2470,5.1420,-2.00,타임아웃4H,4.0,+5.4,80.4,0.29,1.17,+1.9
2026-07-02 04:46:36,THE,77.5000,70.7900,-8.66,손절-6.0%,2.1,+2.8,31.1,0.18,-1.72,+2.4
2026-07-02 06:51:45,RE,930.0000,908.0000,-2.37,타임아웃4H,4.0,-7.4,16.7,1.47,-1.86,+2.5
2026-07-02 08:11:54,PENGU,9.4180,9.3660,-0.55,타임아웃4H,4.0,+2.0,53.7,1.41,0.01,+2.4
2026-07-02 08:46:59,VIRTUAL,827.0000,832.0000,+0.60,타임아웃4H,4.0,+2.5,30.0,0.0,-0.58,+2.0
2026-07-02 10:52:11,SHIB,0.0066,0.0065,-1.52,타임아웃4H,4.0,+3.1,50.0,11.09,0.23,+3.2
2026-07-02 11:22:16,HFT,14.6600,13.6200,-7.09,손절-6.0%,2.6,+23.9,48.2,0.0,0.08,+2.3
2026-07-02 12:12:22,EDGE,116.0000,121.0000,+4.31,타임아웃4H,4.0,+3.6,50.0,1.81,-0.04,+2.5
2026-07-02 13:52:33,SLX,757.0000,702.0000,-7.27,손절-6.0%,3.0,+7.8,48.3,0.34,1.3,+1.6
