signal_time,coin,mult,chg_at_signal,label,ob_buy_ratio,ob_depth,ask_krw,bid_krw,spread_pct
2026-06-30 16:10:56,POWR,187,-18.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,MANTA,184,-19.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,ELF,132,-5.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,CSPR,121,+70.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,AGLD,102,+7.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,TAIKO,80,+5.90,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,ZRC,63,+16.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,G,59,-7.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,HUNT,53,-8.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,CARV,44,+2.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,BICO,36,-1.10,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,TT,34,-17.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,MLK,28,-1.80,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,ALICE,27,+0.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:10:56,MAGIC,26,-8.50,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,MANTA,182,-20.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,POWR,175,-17.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,CSPR,168,+77.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,ELF,132,-4.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,AGLD,103,+7.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,TAIKO,83,+6.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,ZRC,65,+16.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,CARV,58,+2.60,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,G,53,-9.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,HUNT,53,-9.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,BICO,37,-0.80,중립,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,MLK,28,-0.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,ALICE,27,-1.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,MAGIC,26,-9.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 16:41:00,TT,26,-18.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,CSPR,204,+22.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,MANTA,179,-18.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,POWR,167,-15.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,ELF,129,-6.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,AGLD,104,+7.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,TAIKO,85,+2.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,ZRC,66,+10.60,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,CARV,63,+1.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,HUNT,53,-7.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,G,51,-11.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,BICO,37,+0.60,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,MLK,29,-3.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,ALICE,26,-0.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:11:04,MAGIC,25,-6.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,CSPR,211,+13.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,MANTA,175,-19.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,POWR,159,-12.90,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:07,ELF,104,-9.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,AGLD,103,+8.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,TAIKO,87,+0.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,ZRC,67,+6.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,CARV,64,+1.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,HUNT,52,-6.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,G,50,-10.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,BICO,37,+0.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,MLK,29,-2.00,중립,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,ALICE,26,-4.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 17:41:08,MAGIC,24,-6.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,CSPR,218,+10.10,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,MANTA,174,-20.60,던짐?,0.500,+0.000,0,0,0.0000
