entry,tp,sl,event_count,count,win_rate,ev,ci_low,ci_high,mdd
0.05,0.07,0.02,64,44,0.13636363636363635,-0.02895204770544824,-0.04047258531535014,-0.017431510095546335,1.300416589771907
0.05,0.03,0.02,64,44,0.1590909090909091,-0.029463539964720613,-0.04012713005883284,-0.018799949870608387,1.296395758447707
0.05,0.05,0.02,64,44,0.13636363636363635,-0.02990676770401836,-0.040930381712092005,-0.01888315369594471,1.331557329356421
0.05,0.1,0.02,64,44,0.13636363636363635,-0.030219857413248286,-0.041056981939375,-0.01938273288712157,1.3296737261829243
0.05,0.07,0.03,64,44,0.13636363636363635,-0.030830498082071136,-0.042919072536854855,-0.01874192362728742,1.3830684063433152
0.05,0.03,0.03,64,44,0.1590909090909091,-0.03124008887744624,-0.04249266498188138,-0.0199875127730111,1.374563910607635
0.05,0.05,0.03,64,44,0.13636363636363635,-0.031785218080641255,-0.043387393278847115,-0.020183042882435394,1.414209145927829
0.05,0.1,0.03,64,44,0.13636363636363635,-0.03209830778987118,-0.04351884132245763,-0.020677774257284735,1.4123255427543324
0.07,0.07,0.02,64,27,0.037037037037037035,-0.03270792059408513,-0.04799804508726421,-0.017417796100906043,0.8831138560402985
0.07,0.1,0.02,64,27,0.037037037037037035,-0.03270792059408513,-0.04799804508726421,-0.017417796100906043,0.8831138560402985
0.07,0.03,0.02,64,27,0.07407407407407407,-0.03286704612222255,-0.04789189781539352,-0.017842194429051578,0.8874102453000088
0.05,0.07,0.05,64,44,0.13636363636363635,-0.03291038508446852,-0.045385060134507216,-0.02043571003442983,1.4745834344487998
0.07,0.05,0.02,64,27,0.037037037037037035,-0.033681382259164755,-0.048393743077472455,-0.018969021440857055,0.9093973209974484
0.05,0.03,0.05,64,44,0.1590909090909091,-0.03374325888372459,-0.045431810730154024,-0.02205470703729516,1.4847033908838823
0.05,0.05,0.05,64,44,0.13636363636363635,-0.033865105083038645,-0.04585424808077608,-0.02187596208530121,1.5057241740333136
0.05,0.1,0.05,64,44,0.13636363636363635,-0.03417819479226857,-0.04598672189849161,-0.022369667686045536,1.503840570859817
0.07,0.07,0.05,64,27,0.037037037037037035,-0.03532695509085034,-0.05162323407144674,-0.019030676110253945,0.9538277874529593
0.07,0.1,0.05,64,27,0.037037037037037035,-0.03532695509085034,-0.05162323407144674,-0.019030676110253945,0.9538277874529593
0.07,0.03,0.05,64,27,0.07407407407407407,-0.03548608061898777,-0.05152988988040842,-0.019442271357567112,0.9581241767126698
0.07,0.05,0.05,64,27,0.037037037037037035,-0.03630041675592997,-0.05203194423458743,-0.020568889277272514,0.9801112524101093
0.07,0.07,0.03,64,27,0.037037037037037035,-0.03674196641832077,-0.05283221294287348,-0.020651719893768062,0.9920330932946606
0.07,0.1,0.03,64,27,0.037037037037037035,-0.03674196641832077,-0.05283221294287348,-0.020651719893768062,0.9920330932946606
0.07,0.03,0.03,64,27,0.07407407407407407,-0.036901091946458194,-0.0527334828715439,-0.02106870102137249,0.9963294825543711
0.07,0.05,0.03,64,27,0.037037037037037035,-0.03771542808340039,-0.05322030575480613,-0.022210550411994656,1.0183165582518108
0.1,0.05,0.02,64,10,0.1,-0.05079455510137523,-0.09753334800809567,-0.004055762194654797,0.5079455510137524
0.1,0.07,0.02,64,10,0.1,-0.05079455510137523,-0.09753334800809567,-0.004055762194654797,0.5079455510137524
0.1,0.1,0.02,64,10,0.1,-0.05079455510137523,-0.09753334800809567,-0.004055762194654797,0.5079455510137524
0.1,0.03,0.02,64,10,0.0,-0.053375381904434686,-0.09866602791401793,-0.008084735894851439,0.5337538190443469
0.1,0.05,0.03,64,10,0.1,-0.060513112767573256,-0.10715950109583043,-0.01386672443931608,0.6051311276757325
0.1,0.07,0.03,64,10,0.1,-0.060513112767573256,-0.10715950109583043,-0.01386672443931608,0.6051311276757325
0.1,0.1,0.03,64,10,0.1,-0.060513112767573256,-0.10715950109583043,-0.01386672443931608,0.6051311276757325
0.1,0.05,0.05,64,10,0.1,-0.061399472827956006,-0.10825595035101968,-0.01454299530489233,0.61399472827956
0.1,0.07,0.05,64,10,0.1,-0.061399472827956006,-0.10825595035101968,-0.01454299530489233,0.61399472827956
0.1,0.1,0.05,64,10,0.1,-0.061399472827956006,-0.10825595035101968,-0.01454299530489233,0.61399472827956
0.1,0.03,0.03,64,10,0.0,-0.06309393957063271,-0.1080517113822913,-0.018136167758974107,0.6309393957063271
0.1,0.03,0.05,64,10,0.0,-0.06398029963101545,-0.10913439511580608,-0.01882620414622483,0.6398029963101546
