exit_time,coin,entry,exit,pnl_pct,reason,held_min
2026-06-30 16:59:36,AHT,2.3420,2.2200,-5.21,SL-3.0%,1
2026-06-30 17:00:39,AHT,2.2200,1.6140,-27.30,SL-3.0%,1
2026-06-30 17:07:43,AHT,2.1590,2.2450,+3.98,TP+3.0%,1
2026-06-30 17:08:46,AHT,2.2450,2.3510,+4.72,TP+3.0%,1
2026-06-30 17:09:49,AHT,2.3510,2.0330,-13.53,SL-3.0%,1
2026-06-30 17:19:55,AHT,2.2250,2.3090,+3.78,TP+3.0%,4
2026-06-30 17:25:59,AHT,2.3780,2.1190,-10.89,SL-3.0%,2
2026-06-30 17:39:05,AHT,2.1680,2.2550,+4.01,TP+3.0%,9
2026-06-30 17:42:09,AHT,2.2710,2.1680,-4.54,SL-3.0%,2
2026-06-30 17:48:14,MOC,37.2500,35.2300,-5.42,SL-3.0%,3
2026-06-30 17:49:17,MOC,35.2300,36.3500,+3.18,TP+3.0%,1
2026-06-30 17:50:19,AHT,2.1290,2.1990,+3.29,TP+3.0%,5
2026-06-30 17:51:22,AHT,2.1990,2.3020,+4.68,TP+3.0%,1
2026-06-30 17:53:25,AHT,2.3020,2.6490,+15.07,TP+3.0%,2
2026-06-30 17:57:28,AHT,2.7210,2.8100,+3.27,TP+3.0%,3
2026-06-30 17:58:31,AHT,2.8100,2.9390,+4.59,TP+3.0%,1
2026-06-30 18:06:36,AHT,2.9390,2.6330,-10.41,SL-3.0%,8
2026-06-30 18:07:39,MOC,32.0700,30.3500,-5.36,SL-3.0%,1
2026-06-30 18:10:43,AHT,2.7680,2.9890,+7.98,TP+3.0%,3
2026-06-30 18:13:49,AHT,3.0200,3.1490,+4.27,TP+3.0%,1
2026-06-30 18:14:52,SC,1.1490,1.0770,-6.27,SL-3.0%,3
2026-06-30 18:15:53,AHT,3.1490,2.9000,-7.91,SL-3.0%,2
2026-06-30 18:20:57,AHT,3.0000,2.9000,-3.33,SL-3.0%,4
2026-06-30 18:24:02,AHT,2.7440,2.8280,+3.06,TP+3.0%,1
2026-06-30 18:24:03,TOKAMAK,698.0000,677.0000,-3.01,SL-3.0%,1
2026-06-30 18:26:08,AHT,2.8280,2.6800,-5.23,SL-3.0%,2
2026-06-30 18:26:09,TOKAMAK,729.0000,689.0000,-5.49,SL-3.0%,1
2026-06-30 18:28:11,MOC,30.5600,28.8200,-5.69,SL-3.0%,15
2026-06-30 18:39:17,AHT,2.8090,2.9290,+4.27,TP+3.0%,10
