time,coin,surge,val_24h_eok,chg_24h,spread_pct,depth_imb,bid_wall,ask_wall,buy_ratio
2026-06-22 10:29:20,BICO,1619.2,552,-28.8,0.261,-0.1183,0.3187,0.2393,0.2389
2026-06-22 10:29:20,ALICE,226.3,146,-30.9,0.4866,-0.3818,0.2255,0.513,0.476
2026-06-22 10:29:20,CSPR,137.9,62,+7.9,0.2807,-0.0315,0.3211,0.3283,0.6159
2026-06-22 10:29:20,ACE,88.6,99,-20.3,0.8163,-0.5553,0.1784,0.4007,0.6076
2026-06-22 10:29:20,BTR,83.3,305,+4.3,0.0313,0.1198,0.4515,0.6457,0.3493
2026-06-22 10:29:20,BEL,82.9,68,+18.9,0.3697,-0.6689,0.6555,0.1887,0.4284
2026-06-22 10:29:20,MET,60.6,32,+1.6,0.8,-0.337,0.5924,0.2557,0.3001
2026-06-22 10:29:20,BLUE,55.9,45,+8.1,0.6853,-0.3216,0.3204,0.2436,0.4919
2026-06-22 10:29:20,MMT,50.7,59,+15.8,0.3795,0.3447,0.2962,0.2183,0.4084
2026-06-22 10:29:20,STRAX,47.0,185,+8.2,1.1007,-0.0118,0.2192,0.336,0.4284
2026-06-22 10:29:20,AXS,34.2,72,-15.5,0.2559,-0.2801,0.3359,0.2572,0.726
2026-06-22 10:29:20,WAVES,22.1,37,+1.6,0.681,0.1618,0.2232,0.6987,0.2726
2026-06-22 10:34:13,BICO,1609.9,548,-27.6,0.3079,-0.2294,0.3411,0.2138,0.6858
2026-06-22 10:34:13,ALICE,222.4,143,-30.9,0.9709,-0.3909,0.2309,0.4132,0.7255
2026-06-22 10:34:13,CSPR,138.1,63,+7.5,0.8788,-0.2293,0.3315,0.2366,0.948
2026-06-22 10:34:13,ACE,88.0,98,-19.6,0.8163,-0.4879,0.186,0.2756,0.5475
2026-06-22 10:34:13,BEL,83.7,69,+16.4,0.3824,-0.2608,0.4063,0.2768,0.1638
2026-06-22 10:34:13,BTR,83.4,305,+4.6,0.248,0.0501,0.4028,0.4861,0.2349
2026-06-22 10:34:13,MET,60.6,32,+1.6,0.3976,-0.2249,0.5621,0.28,0.2978
2026-06-22 10:34:13,BLUE,55.9,45,+7.5,0.7977,-0.3386,0.241,0.2115,0.4849
2026-06-22 10:34:13,MMT,51.2,60,+15.8,0.3795,0.3019,0.2523,0.2804,0.6131
2026-06-22 10:34:13,STRAX,47.0,185,+9.8,1.4121,-0.0196,0.1918,0.332,0.5813
2026-06-22 10:34:13,AXS,33.4,71,-16.2,0.1284,-0.4397,0.3703,0.3187,0.421
2026-06-22 10:34:13,WAVES,22.1,37,+0.7,0.4535,0.092,0.2618,0.7741,0.6006
2026-06-22 11:04:17,BICO,1593.3,543,-29.3,0.0458,-0.218,0.4452,0.1218,0.6103
2026-06-22 11:04:17,ALICE,203.3,131,-29.2,0.9662,-0.2057,0.2225,0.4155,0.5263
2026-06-22 11:04:17,CSPR,139.1,63,+11.5,0.5479,0.5705,0.4193,0.2866,0.4688
2026-06-22 11:04:17,BEL,85.7,70,+12.0,0.7634,-0.056,0.2488,0.2454,0.5569
2026-06-22 11:04:17,ACE,83.4,93,-18.1,0.8163,-0.3996,0.1764,0.4292,0.5588
2026-06-22 11:04:17,BTR,79.0,289,-9.0,0.1572,-0.2623,0.3162,0.7056,0.2372
2026-06-22 11:04:17,MET,58.4,31,+2.5,0.4008,-0.2979,0.6198,0.2761,0.4538
2026-06-22 11:04:17,BLUE,56.0,45,+8.0,0.7355,-0.3759,0.2365,0.1905,0.7064
2026-06-22 11:04:17,MMT,53.1,62,+15.2,0.3766,0.4187,0.3236,0.2639,1.0
2026-06-22 11:04:17,STRAX,47.1,186,+12.3,0.1907,-0.2417,0.6833,0.3331,0.3164
2026-06-22 11:04:17,AXS,30.6,65,-15.1,0.1288,-0.4921,0.3662,0.2169,0.1359
2026-06-22 11:04:17,WAVES,22.0,37,-0.2,0.905,0.024,0.2918,0.4979,0.3715
2026-06-22 11:34:20,BICO,1564.1,533,-30.9,0.0151,0.3808,0.2009,0.2878,0.3547
2026-06-22 11:34:20,ALICE,190.5,123,-26.8,0.4819,-0.4956,0.2819,0.2468,0.7489
2026-06-22 11:34:20,CSPR,140.8,64,+7.8,0.4706,-0.4335,0.3558,0.4069,0.4457
2026-06-22 11:34:20,BEL,87.5,72,+15.3,0.3683,-0.5486,0.33,0.2186,0.2146
2026-06-22 11:34:20,ACE,82.3,92,-16.3,0.8163,-0.161,0.3098,0.3165,0.5789
2026-06-22 11:34:20,BTR,74.4,272,-9.5,0.1548,0.5603,0.3028,0.2108,0.2192
2026-06-22 11:34:20,MET,57.5,30,+1.2,0.3976,-0.305,0.6707,0.2237,0.6284
2026-06-22 11:34:20,BLUE,56.0,45,+5.5,0.9143,-0.1541,0.2034,0.2292,0.5113
2026-06-22 11:34:20,MMT,54.8,64,+8.2,0.3992,-0.0136,0.6577,0.4209,0.3906
2026-06-22 11:34:20,STRAX,47.4,187,+14.1,1.4972,-0.0575,0.5355,0.3902,0.4145
2026-06-22 11:34:20,AXS,28.7,61,-15.1,0.0647,-0.3051,0.3786,0.3557,0.5628
2026-06-22 11:34:20,WAVES,20.5,34,-4.8,0.9091,0.115,0.3121,0.4616,0.749
2026-06-22 12:04:24,BICO,1507.6,514,-33.0,0.1708,0.2275,0.2054,0.1973,0.1246
2026-06-22 12:04:24,ALICE,175.3,113,-28.0,0.9615,-0.388,0.2571,0.2824,0.7996
2026-06-22 12:04:24,CSPR,141.5,64,+8.1,0.743,-0.6663,0.5554,0.8492,0.3642
2026-06-22 12:04:24,BEL,95.1,78,+20.8,0.3591,-0.5384,0.2922,0.3584,0.7468
2026-06-22 12:04:24,ACE,81.5,91,-16.3,0.8097,-0.045,0.3038,0.1831,0.2763
2026-06-22 12:04:24,BTR,72.6,266,-7.9,0.2526,0.4892,0.4036,0.2731,0.5307
2026-06-22 12:04:24,MMT,57.4,67,+6.9,0.4024,-0.5256,0.298,0.3294,0.3169
2026-06-22 12:04:24,MET,57.3,30,+0.8,0.404,-0.0418,0.6064,0.2136,0.8375
2026-06-22 12:04:24,BLUE,56.1,45,+4.4,0.5237,0.0819,0.2418,0.2783,0.628
2026-06-22 12:04:24,STRAX,47.4,187,+11.4,0.8833,0.0979,0.2969,0.3667,0.8929
2026-06-22 12:04:24,AXS,27.2,58,-14.2,0.1937,-0.3321,0.2719,0.221,0.4303
2026-06-22 12:04:24,WAVES,20.1,33,-6.6,0.4587,-0.1431,0.1877,0.2348,0.3833
2026-06-22 12:34:27,BICO,1471.7,501,-30.8,0.2637,-0.0361,0.3323,0.2259,0.1168
2026-06-22 12:34:27,ALICE,167.1,108,-27.1,0.4819,-0.4531,0.3238,0.2662,0.4307
2026-06-22 12:34:27,CSPR,141.7,64,+7.1,0.8436,-0.5597,0.3215,0.7123,0.507
2026-06-22 12:34:27,BEL,102.8,84,+20.5,0.3604,-0.519,0.3069,0.3638,0.5755
2026-06-22 12:34:27,ACE,80.8,90,-14.5,0.8032,-0.1345,0.377,0.1657,0.2298
2026-06-22 12:34:27,BTR,71.6,262,-9.2,0.2527,0.4821,0.2983,0.2048,0.4738
2026-06-22 12:34:27,MMT,58.6,68,+10.3,0.7812,-0.6412,0.2769,0.4388,0.2981
2026-06-22 12:34:27,MET,57.1,30,+2.1,0.4073,-0.1428,0.7189,0.194,0.6052
2026-06-22 12:34:27,BLUE,56.1,45,+4.3,1.0351,-0.186,0.2258,0.2539,0.4271
2026-06-22 12:34:27,STRAX,47.5,187,+10.7,0.572,-0.1595,0.5589,0.4098,0.3303
2026-06-22 12:34:27,AXS,26.0,55,-12.7,0.3231,-0.48,0.2633,0.248,0.4732
2026-06-22 13:04:31,BICO,1448.0,493,-32.7,0.1888,0.1635,0.1669,0.1921,0.4074
2026-06-22 13:04:31,ALICE,154.7,100,-24.1,0.4938,-0.4206,0.3124,0.2229,0.4163
2026-06-22 13:04:31,CSPR,142.6,65,+9.9,0.6801,0.0501,0.2609,0.2467,0.379
2026-06-22 13:04:31,BEL,109.1,90,+24.1,0.3656,-0.6398,0.4727,0.2435,0.279
2026-06-22 13:04:31,ACE,79.6,89,-12.7,0.8097,-0.0412,0.3611,0.2061,0.3117
2026-06-22 13:04:31,BTR,70.3,257,-14.4,0.032,0.3255,0.4583,0.1801,0.3916
2026-06-22 13:04:31,MMT,59.5,69,+10.3,0.3868,-0.5765,0.2443,0.4221,0.4461
2026-06-22 13:04:31,BLUE,56.2,45,+4.4,0.7582,0.3077,0.2837,0.3073,0.5466
2026-06-22 13:04:31,MET,56.2,30,-4.3,0.4124,0.0409,0.6157,0.1887,0.5021
2026-06-22 13:04:31,STRAX,47.6,188,+9.6,0.8331,-0.1897,0.5965,0.424,0.4087
2026-06-22 13:04:31,AXS,25.0,53,-12.9,0.3225,-0.3345,0.1739,0.3363,0.013
2026-06-22 13:34:34,BICO,1427.6,486,-31.9,0.1871,-0.0056,0.205,0.1971,0.6346
2026-06-22 13:34:34,CSPR,143.1,65,+10.2,0.4306,-0.3237,0.2716,0.4656,0.9113
2026-06-22 13:34:34,ALICE,141.1,91,-20.5,0.9756,-0.3936,0.2734,0.2816,0.4243
2026-06-22 13:34:34,BEL,114.2,94,+17.9,0.3711,-0.3623,0.4605,0.3153,0.3579
2026-06-22 13:34:34,ACE,77.3,86,-12.8,1.6129,-0.0716,0.3546,0.1832,0.4149
2026-06-22 13:34:34,BTR,61.8,226,-24.0,0.159,0.271,0.5285,0.184,0.2037
2026-06-22 13:34:34,MMT,60.1,70,+7.2,0.3945,-0.6412,0.3467,0.313,0.4304
2026-06-22 13:34:34,BLUE,56.3,45,+4.9,0.9324,0.017,0.1762,0.2118,0.3409
2026-06-22 13:34:34,MET,55.2,29,-5.2,0.4193,0.0853,0.5302,0.3241,0.0346
2026-06-22 13:34:34,STRAX,47.7,188,+12.5,0.25,0.0948,0.565,0.7484,0.6032
2026-06-22 13:34:34,AXS,24.6,52,-13.6,0.1951,-0.6533,0.1992,0.2675,0.1648
2026-06-22 14:04:38,BICO,1412.4,481,-32.8,0.0638,-0.5811,0.5191,0.1225,0.4001
2026-06-22 14:04:38,CSPR,144.0,65,+8.5,0.1551,0.2198,0.3181,0.3988,0.2501
2026-06-22 14:04:38,ALICE,129.3,83,-21.0,0.4914,-0.4533,0.3382,0.2847,0.3694
2026-06-22 14:04:38,BEL,119.8,98,+9.9,0.3899,-0.1986,0.2474,0.4379,0.2645
2026-06-22 14:04:38,ACE,71.5,80,-25.0,0.8097,-0.0704,0.4587,0.2414,0.3865
2026-06-22 14:04:38,MMT,60.7,71,+8.1,0.3929,-0.659,0.4427,0.276,0.4473
2026-06-22 14:04:38,BTR,57.1,209,-21.2,0.2242,0.1139,0.2224,0.24,0.1353
2026-06-22 14:04:38,BLUE,56.3,45,+5.2,0.8078,-0.0454,0.2272,0.2409,0.3884
2026-06-22 14:04:38,MET,52.6,28,-9.2,0.8403,-0.0715,0.6861,0.2762,0.0727
2026-06-22 14:04:38,STRAX,49.1,194,+17.8,0.1202,-0.1466,0.1979,0.5779,0.7481
2026-06-22 14:04:38,AXS,24.3,51,-12.8,0.1946,-0.8031,0.1945,0.1971,0.3745
2026-06-22 14:34:41,BICO,1289.9,439,-25.6,0.2076,-0.0293,0.1508,0.3921,0.3543
2026-06-22 14:34:41,CSPR,145.1,66,+8.6,0.6877,-0.1248,0.489,0.4253,0.4852
2026-06-22 14:34:41,BEL,123.7,102,+11.5,0.3945,-0.3753,0.1949,0.2542,0.5933
2026-06-22 14:34:41,ALICE,117.9,76,-20.2,0.9901,-0.3035,0.2968,0.3043,0.2564
2026-06-22 14:34:41,MMT,61.7,72,+4.1,0.8,-0.7005,0.2684,0.4777,0.3287
2026-06-22 14:34:41,BLUE,56.3,45,+8.9,2.0619,-0.1759,0.2222,0.1646,0.594
2026-06-22 14:34:41,BTR,53.3,195,-20.5,0.0321,0.4494,0.3926,0.2141,0.3934
2026-06-22 14:34:41,ACE,52.8,59,-23.0,0.8032,-0.1449,0.2674,0.1827,0.2979
2026-06-22 14:34:41,STRAX,49.5,195,+13.4,0.3072,0.168,0.3763,0.4247,0.5183
2026-06-22 14:34:41,MET,43.9,23,-11.4,0.4175,0.205,0.4084,0.2735,0.0857
2026-06-22 14:34:41,AXS,23.0,49,-12.3,0.2589,-0.5444,0.4345,0.2673,0.5441
2026-06-22 15:04:45,BICO,1240.6,423,-21.5,0.0651,-0.5737,0.3055,0.1664,0.0115
2026-06-22 15:04:45,CSPR,146.1,66,+7.2,1.0356,0.2661,0.195,0.3332,0.4693
2026-06-22 15:04:45,BEL,125.8,103,+15.6,0.3854,-0.6488,0.1909,0.2212,0.5859
2026-06-22 15:04:45,ALICE,109.6,71,-14.9,0.9756,-0.4459,0.2801,0.2735,0.4677
2026-06-22 15:04:45,MMT,61.7,72,+3.3,0.8,-0.7076,0.2907,0.4493,0.3736
2026-06-22 15:04:45,BLUE,56.3,45,+6.4,0.8121,0.104,0.3179,0.164,0.5655
2026-06-22 15:04:45,STRAX,49.8,197,+18.5,0.4751,-0.5618,0.2685,0.54,0.3717
2026-06-22 15:04:45,BTR,46.2,169,-25.9,0.2904,0.3683,0.3517,0.307,0.4142
2026-06-22 15:04:45,ACE,45.8,51,-21.7,0.8097,-0.2404,0.4529,0.1723,0.29
2026-06-22 15:04:45,MET,39.4,21,-6.8,0.8511,0.0784,0.6506,0.2661,0.0275
2026-06-22 15:04:45,AXS,21.5,45,-9.2,0.3866,-0.6062,0.2146,0.2097,0.5757
2026-06-22 15:34:48,BICO,1216.8,414,-24.0,0.1337,-0.0104,0.3005,0.2162,0.2454
2026-06-22 15:34:48,CSPR,147.4,67,+5.5,0.0319,0.3922,0.5317,0.3608,0.6028
2026-06-22 15:34:48,BEL,127.5,105,+12.9,0.3945,-0.5103,0.3861,0.1952,0.4245
2026-06-22 15:34:48,ALICE,103.0,66,-15.5,0.4938,-0.4519,0.3991,0.2499,0.1624
2026-06-22 15:34:48,MMT,60.1,70,+4.5,0.7782,-0.507,0.4743,0.7194,0.8215
2026-06-22 15:34:48,BLUE,56.4,45,+8.1,0.5718,0.0709,0.2543,0.2749,0.6605
2026-06-22 15:34:48,STRAX,49.8,197,+11.5,0.1211,-0.0412,0.2958,0.2675,0.7711
2026-06-22 15:34:48,BTR,41.7,153,-16.5,0.2572,-0.1073,0.2775,0.2508,0.5766
2026-06-22 15:34:48,ACE,40.9,46,-21.3,0.8163,-0.3112,0.4675,0.1699,0.0325
2026-06-22 15:34:48,MET,38.3,20,-6.8,0.4264,-0.1664,0.4302,0.367,0.0489
2026-06-22 15:34:48,AXS,20.7,44,-9.8,0.3229,-0.4581,0.2059,0.2992,0.5507
2026-06-22 16:04:52,BICO,1184.6,404,-23.7,0.4401,0.0007,0.2997,0.2139,0.5224
2026-06-22 16:04:52,CSPR,147.8,67,+6.9,0.095,0.2669,0.6027,0.3394,0.314
2026-06-22 16:04:52,BEL,128.4,105,+20.9,0.7874,-0.4945,0.3894,0.2473,0.6633
2026-06-22 16:04:52,ALICE,96.0,62,-12.1,0.9804,-0.7016,0.3662,0.2157,0.6752
2026-06-22 16:04:52,MMT,59.0,69,+12.4,0.7634,-0.5714,0.4287,0.4843,0.4042
2026-06-22 16:04:52,BLUE,56.6,46,+4.9,1.0532,0.2801,0.2423,0.2246,1.0
2026-06-22 16:04:52,STRAX,43.5,172,-8.3,0.9061,-0.3866,0.3154,0.7014,0.573
2026-06-22 16:04:52,ACE,38.7,43,-15.2,0.8097,-0.2876,0.3844,0.2355,0.2221
2026-06-22 16:04:52,BTR,38.6,141,-17.0,0.321,0.0596,0.1911,0.1831,0.339
2026-06-22 16:04:52,MET,36.9,19,-6.0,0.4264,-0.2293,0.5699,0.3851,0.1293
2026-06-22 16:04:52,AXS,20.1,43,-9.7,0.3241,-0.5235,0.2775,0.3209,0.5016
2026-06-22 16:34:56,BICO,1165.0,397,-23.4,0.1047,-0.3975,0.2955,0.1274,0.4828
2026-06-22 16:34:56,CSPR,148.1,67,+8.3,0.6884,-0.418,0.4351,0.3041,0.7964
2026-06-22 16:34:56,BEL,128.3,105,+17.6,0.3945,-0.4788,0.255,0.1979,0.4352
2026-06-22 16:34:56,ALICE,91.0,59,-14.8,0.4963,-0.6507,0.3573,0.2414,0.6326
2026-06-22 16:34:56,MMT,59.4,69,+7.0,0.7663,-0.6084,0.5412,0.6343,0.4416
2026-06-22 16:34:56,BLUE,56.7,46,+6.8,1.0339,-0.3642,0.1587,0.3951,0.499
2026-06-22 16:34:56,STRAX,39.9,158,-2.1,0.4239,-0.1067,0.4083,0.3663,0.8455
2026-06-22 16:34:56,MET,37.5,20,-2.0,0.4073,-0.3643,0.7094,0.3097,0.8332
2026-06-22 16:34:56,ACE,36.8,41,-15.8,0.8163,-0.2531,0.2636,0.1964,0.497
2026-06-22 16:34:56,BTR,36.4,133,-19.2,0.1285,0.2966,0.2641,0.2531,0.1376
2026-06-22 17:04:59,BICO,1147.4,391,-19.8,0.2217,-0.1819,0.1797,0.2207,0.6241
2026-06-22 17:04:59,CSPR,148.7,67,+6.5,0.3797,0.4651,0.6195,0.5605,0.0137
2026-06-22 17:04:59,BEL,129.7,107,+18.1,0.3914,-0.584,0.1484,0.2686,0.5777
2026-06-22 17:04:59,ALICE,85.5,55,-14.3,0.5038,-0.4346,0.3964,0.3594,0.0773
2026-06-22 17:04:59,MMT,60.1,70,+9.2,0.7605,-0.4474,0.3754,0.3054,0.6532
2026-06-22 17:04:59,BLUE,56.9,46,+4.6,0.0582,-0.1279,0.2314,0.1831,0.8172
2026-06-22 17:04:59,STRAX,38.3,151,-4.1,0.3722,0.021,0.4325,0.4586,0.4211
2026-06-22 17:04:59,MET,37.1,20,-2.4,0.4124,-0.4332,0.6357,0.2744,0.7639
2026-06-22 17:04:59,BTR,35.1,129,-19.2,0.3546,0.2067,0.2552,0.2691,0.425
2026-06-22 17:04:59,ACE,34.9,39,-18.8,0.823,-0.3185,0.4014,0.2006,0.3099
2026-06-22 17:35:03,BICO,1087.3,370,-15.0,0.3548,0.177,0.1591,0.325,0.1371
2026-06-22 17:35:03,CSPR,149.2,68,+7.1,0.8551,0.148,0.6751,0.2805,0.777
2026-06-22 17:35:03,BEL,130.8,107,+17.2,0.3976,-0.4971,0.1623,0.1593,0.4329
2026-06-22 17:35:03,ALICE,81.2,52,-14.3,0.5063,-0.5826,0.446,0.3417,0.1607
2026-06-22 17:35:03,MMT,61.3,71,+8.7,0.7634,-0.7034,0.2895,0.2898,0.4092
2026-06-22 17:35:03,BLUE,56.8,46,+0.8,0.8628,-0.303,0.247,0.3883,0.4646
